stc_person,stc_acad_level,stc_depts,stc_course_name,stc_sec_name,student_course_sec_stc_title,stc_cmpl_cred,xstc_verified_lettr_grade,students_stu_class,term_reporting_year,student_course_sec_sec_term,students_stu_active_majors,majors_maj_desc,students_xstu_grad_acad_year,person_xper_grad_term,stu_acad_programs,students_stu_majors,students_xstu_grad_app_major,term_numeric,person_gender,person_gender_identity,person_per_ethnics,person_per_races,pell,race_ethnicity,gender,pell_recipient,term_year,term_season,term_val,term_index,primary_major,grad_year,start_term_index,ever_graduated,years_to_grad,has_next_year,status,classes_taken,majors,dropped_majors_list,switched_majors
398469488,UG,MFL,SPA-102,SPA-102-02,Spanish Language & Culture II,0,F,FR,2021,21/FA,NON,Nondegree Seeking-UG,NA,NA,NON,NON,,2109,M,NA,NHS,WH,N,White,Male,FALSE,2021,FA,0.2,2021.2,NON,NA,2021.2,FALSE,NA,FALSE,Dropped,1,NA,NA,FALSE
551296030,UG,MATPH,MAT-113,MAT-113-01,Math for Elem Teachers I,3,B+,FR,2021,21/FA,NON,Nondegree Seeking-UG,NA,NA,"NON,PRO",NON,BIO,2109,M,NA,NHS,WH,N,White,Male,FALSE,2021,FA,0.2,2021.2,BIO,NA,2021,FALSE,NA,FALSE,Dropped,2,NA,NA,FALSE
551296030,UG,MATPH,MAT-494,MAT-494-01,IS: Mthods in Probability Alg,1,A,FR,2021,22/SP,NON,Nondegree Seeking-UG,NA,NA,"NON,PRO",NON,BIO,2202,M,NA,NHS,WH,N,White,Male,FALSE,2021,SP,0,2021,BIO,NA,2021,FALSE,NA,FALSE,Dropped,2,NA,NA,FALSE
-795288576,UG,"ENG,HIS",IND-332,IND-332-02,London: Art/History/Literature,3,A,",FR",2022,22/FA,NON,Nondegree Seeking-UG,NA,NA,"NON,PRO",NON,,2209,F,NA,NHS,WH,Y,White,Female,TRUE,2022,FA,0.2,2022.2,NON,NA,2022.2,FALSE,NA,FALSE,Dropped,1,NA,NA,FALSE
-1693281456,UG,BIO,BIO-450,BIO-450-01,Biology Capstone Seminar,3,NA,SR,2020,20/FA,NA,NA,2020,21/SP,"BIO,OPEN","BIO,OPEN",BIO,2009,M,NA,NR,BL,N,Nonresident alien,Male,FALSE,2020,FA,0.2,2020.2,BIO,2020,2020,TRUE,0.20000000000004547,FALSE,Graduated,6,BIO,NA,FALSE
-1693281456,UG,BUACC,BUS-150,BUS-150-02,Business Computer Applications,3,B,SR,2020,20/FA,NA,NA,2020,21/SP,"BIO,OPEN","BIO,OPEN",BIO,2009,M,NA,NR,BL,N,Nonresident alien,Male,FALSE,2020,FA,0.2,2020.2,BIO,2020,2020,TRUE,0.20000000000004547,FALSE,Graduated,6,BIO,NA,FALSE
-1693281456,UG,MATPH,PHY-231,PHY-231-01,General Physics I,3,B-,SR,2020,20/FA,NA,NA,2020,21/SP,"BIO,OPEN","BIO,OPEN",BIO,2009,M,NA,NR,BL,N,Nonresident alien,Male,FALSE,2020,FA,0.2,2020.2,BIO,2020,2020,TRUE,0.20000000000004547,FALSE,Graduated,6,BIO,NA,FALSE
-1693281456,UG,MATPH,PHY-231L,PHY-231L-01,General Physics I Lab,1,B-,SR,2020,20/FA,NA,NA,2020,21/SP,"BIO,OPEN","BIO,OPEN",BIO,2009,M,NA,NR,BL,N,Nonresident alien,Male,FALSE,2020,FA,0.2,2020.2,BIO,2020,2020,TRUE,0.20000000000004547,FALSE,Graduated,6,BIO,NA,FALSE
-1693281456,UG,PSY,PSY-370,PSY-370-01,Health Psych & Behavioral Med,3,A-,SR,2020,20/FA,NA,NA,2020,21/SP,"BIO,OPEN","BIO,OPEN",BIO,2009,M,NA,NR,BL,N,Nonresident alien,Male,FALSE,2020,FA,0.2,2020.2,BIO,2020,2020,TRUE,0.20000000000004547,FALSE,Graduated,6,BIO,NA,FALSE
-1693281456,UG,ART,ART-353,ART-353-01,Three-Dimensional Design,3,A,SR,2020,21/SP,NA,NA,2020,21/SP,"BIO,OPEN","BIO,OPEN",BIO,2102,M,NA,NR,BL,N,Nonresident alien,Male,FALSE,2020,SP,0,2020,BIO,2020,2020,TRUE,0.20000000000004547,FALSE,Graduated,6,BIO,NA,FALSE
