dept,course_id,course_name,
ART,ART-111,Ways of Seeing,
ART,ART-131,Introduction to 2-D Media,
ART,ART-151,Introduction to 3-D Media,
ART,ART-171,Introduction to Digital Media,
COM,COM-100,Communication & Culture,
COM,COM-101,Foundations of Public Advocacy,
ENG,ENG-150,Ways of Reading,
COM,COM-111,Foundations of Journalism: From Guttenberg to Instagram,
MUS,MUS-101,Introduction to Music Theory and Sound Studies,
MUS,MUS-101L,Aural Skills,
MUS,MUS-113,"Music of Love, Death and All the Rest",
PHI,PHI-214,Introduction to Logic,
SPA,SPA-101,Spanish Language & Culture I,
SPA,SPA-102,Spanish Language & Culture II,
SPA,SPA-201,Spanish Language and Culture III,
THE,THE-110,Play Reading & Discussion,
THE,THE-140,Stagecraft,
BIO,BIO-201,Molecules to Cells,
HHP,BIO-201,Molecules to Cells,
CHE,CHE-141,General Chemistry I,
MAT,MAT-125,Data Analysis and Statistics,
MAT,MAT-212,Multiple Regression Analysis,
ENVI,ENV-201,Knowing Birds,
ENVI,ENV-202,Knowing Land,
ENVI,ENV-203,Knowing Water,
CSC,CSC-150,Comp Sci I: Intro to Comp Sci and Prog,
MAT,MAT-175,Single Variable Calculus,
PHY,PHY-271,Analytical Physics I,
BUS,ECN-200,Principles of Economics,
ACC,ACC-221,Financial Accounting,
ACC,ATH-101,Cultural Anthropology,
BUS,BUS-100,Introduction to Business,
BUS,BUS-101,Introduction to Sport Administration,
BUS,BUS-150,Business Computer Applications,
HIS,HIS-204,History of the Modern U.S.,
EDU,EDU-202,Introduction to Teaching,
POE,POE-250,Introduction to Political Philosophy,
POE,POE-255,Introduction to Political Philosophy Through Plato,
POE,POE-110,United States Political Economy,
POE,POE-120,International Politics,
PSY,PSY-100,General Psychology,
