Code,Full Description,Department
ACC / ACCT,Accounting / Accounting-150 Hours,ACCT
ART / ARTDS,Art / Art and Design,ART
ATH,Anthropology/Sociology,ANSC
BIO / BIOBS,Biology,BIO
BIOCS,Biochemistry,BIO
BIOMD,Biomedical Sciences,BIO
BIOTE,Biology Teaching,BIO
BUS / BUSBS,Business Administration,BUS
CHE / CHEBS,Chemistry,CHE
COM,Communication,COMM
CRIM,Criminology,ANSC
CSC,Computer Science,CSC
CSMA / CSMAS,Computer Science/Mathematics,CSC
DMM,Digital Marketing / Marketing and Digital Media,BUS
EDCUR,Curriculum & Instruction,EDU
EDIND,Interdisciplinary Studies/Elementary Pre-certification,EDU
EDLDR,Educational Leadership,EDU
EDMAT,Master of Arts-Teaching,EDU
ELEM,Elementary Teaching,EDU
ENGTE,English Language Arts Teaching,ENG
ENVST,Environmental Studies,ENVST
EXSCI / EXSCS,Exercise Science,HHP
FINCS,Finance,BUS
HIS / HISTE,History / History Teaching,HIS
INTAF,International Affairs,POE
IPE,International Political Economy,POE
ISUPA,Physician Assistant Studies,HHP
LTCW,Literature & Creative Writing,ENG
MAOL,Organizational Leadership,BUS
MAPP,Applied Public Policy,POI
MAT / MATTE,Mathematics / Mathematics Teaching,MATH
MATCS,Mathematics-Computer Science,CSC
MATPH,Mathematics-Physics,PHY
MUEDU / MUSTE,Music Education,MUS
MUS,Music,MUS
NURSE,Nursing (Pre-professional/Active),BIO
PHI,Philosophy,PHIL
PHMA / PHMAS,Physics-Mathematics,PHY
POE,Political Economy,POE
PSY / PSYSS,Psychology / Psychological Science,PSY
SPA / SPABU,Spanish / Spanish Language and Business,SPA
THE,Theatre,THE
